PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:43;
As Of Date: 04-Dec-2025;Page: 1;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);
(continue...);PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:44;
As Of Date: 04-Dec-2025;Page: 11;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);


501.;MARK;  35.00 %;  35.00 %;
502.;MTEL;  10.00 %;  10.00 %;
503.;UDNG; 100.00 %; 100.00 %;
504.;AKKU; 100.00 %; 100.00 %;
505.;AMMS; 100.00 %; 100.00 %;
506.;ANDI; 100.00 %; 100.00 %;
507.;XIPI;  50.00 %;  50.00 %;
508.;ABBA; 100.00 %; 100.00 %;
509.;ABDA; 100.00 %; 100.00 %;
510.;APEX; 100.00 %; 100.00 %;
511.;ATIC; 100.00 %; 100.00 %;
512.;BANK; 100.00 %; 100.00 %;
513.;BBHI; 100.00 %; 100.00 %;
514.;BBMD;  85.00 %;  85.00 %;
515.;BBSI; 100.00 %; 100.00 %;
516.;BINA; 100.00 %; 100.00 %;
517.;BKSW; 100.00 %; 100.00 %;
518.;BMAS; 100.00 %; 100.00 %;
519.;BMSR; 100.00 %; 100.00 %;
520.;BNLI;  85.00 %;  85.00 %;
521.;BRIS;  50.00 %;  50.00 %;
522.;BTPN; 100.00 %; 100.00 %;
523.;BUKK;  85.00 %;  85.00 %;
524.;CENT; 100.00 %; 100.00 %;
525.;CITY; 100.00 %; 100.00 %;
526.;CLAY; 100.00 %; 100.00 %;
527.;COAL; 100.00 %; 100.00 %;
